image_path,label,class_name
viola_dataset\images\image_0.jpg,0,aluminium
viola_dataset\images\image_1.jpg,0,aluminium
viola_dataset\images\image_2.jpg,0,aluminium
viola_dataset\images\image_3.jpg,0,aluminium
viola_dataset\images\image_4.jpg,0,aluminium
viola_dataset\images\image_5.jpg,0,aluminium
viola_dataset\images\image_6.jpg,0,aluminium
viola_dataset\images\image_7.jpg,0,aluminium
viola_dataset\images\image_8.jpg,0,aluminium
viola_dataset\images\image_9.jpg,0,aluminium
viola_dataset\images\image_10.jpg,0,aluminium
viola_dataset\images\image_11.jpg,0,aluminium
viola_dataset\images\image_12.jpg,0,aluminium
viola_dataset\images\image_13.jpg,0,aluminium
viola_dataset\images\image_14.jpg,0,aluminium
viola_dataset\images\image_15.jpg,0,aluminium
viola_dataset\images\image_16.jpg,0,aluminium
viola_dataset\images\image_17.jpg,0,aluminium
viola_dataset\images\image_18.jpg,0,aluminium
viola_dataset\images\image_19.jpg,0,aluminium
viola_dataset\images\image_20.jpg,0,aluminium
viola_dataset\images\image_21.jpg,0,aluminium
viola_dataset\images\image_22.jpg,0,aluminium
viola_dataset\images\image_23.jpg,0,aluminium
viola_dataset\images\image_24.jpg,0,aluminium
viola_dataset\images\image_25.jpg,0,aluminium
viola_dataset\images\image_26.jpg,0,aluminium
viola_dataset\images\image_27.jpg,0,aluminium
viola_dataset\images\image_28.jpg,0,aluminium
viola_dataset\images\image_29.jpg,0,aluminium
viola_dataset\images\image_30.jpg,0,aluminium
viola_dataset\images\image_31.jpg,0,aluminium
viola_dataset\images\image_32.jpg,0,aluminium
viola_dataset\images\image_33.jpg,0,aluminium
viola_dataset\images\image_34.jpg,0,aluminium
viola_dataset\images\image_35.jpg,0,aluminium
viola_dataset\images\image_36.jpg,0,aluminium
viola_dataset\images\image_37.jpg,0,aluminium
viola_dataset\images\image_38.jpg,0,aluminium
viola_dataset\images\image_39.jpg,0,aluminium
viola_dataset\images\image_40.jpg,0,aluminium
viola_dataset\images\image_41.jpg,0,aluminium
viola_dataset\images\image_42.jpg,0,aluminium
viola_dataset\images\image_43.jpg,0,aluminium
viola_dataset\images\image_44.jpg,0,aluminium
viola_dataset\images\image_45.jpg,0,aluminium
viola_dataset\images\image_46.jpg,0,aluminium
viola_dataset\images\image_47.jpg,0,aluminium
viola_dataset\images\image_48.jpg,0,aluminium
viola_dataset\images\image_49.jpg,0,aluminium
viola_dataset\images\image_50.jpg,0,aluminium
viola_dataset\images\image_51.jpg,0,aluminium
viola_dataset\images\image_52.jpg,0,aluminium
viola_dataset\images\image_53.jpg,0,aluminium
viola_dataset\images\image_54.jpg,0,aluminium
viola_dataset\images\image_55.jpg,0,aluminium
viola_dataset\images\image_56.jpg,0,aluminium
viola_dataset\images\image_57.jpg,0,aluminium
viola_dataset\images\image_58.jpg,0,aluminium
viola_dataset\images\image_59.jpg,0,aluminium
viola_dataset\images\image_60.jpg,0,aluminium
viola_dataset\images\image_61.jpg,0,aluminium
viola_dataset\images\image_62.jpg,0,aluminium
viola_dataset\images\image_63.jpg,0,aluminium
viola_dataset\images\image_64.jpg,0,aluminium
viola_dataset\images\image_65.jpg,0,aluminium
viola_dataset\images\image_66.jpg,0,aluminium
viola_dataset\images\image_67.jpg,0,aluminium
viola_dataset\images\image_68.jpg,0,aluminium
viola_dataset\images\image_69.jpg,0,aluminium
viola_dataset\images\image_70.jpg,0,aluminium
viola_dataset\images\image_71.jpg,0,aluminium
viola_dataset\images\image_72.jpg,0,aluminium
